,accuracy,capturedAt,convergenceStatus,latitude,longitude,planterCheckInId,treeUuid
1160,6,1601875674953,CONVERGED,-6.658918140290361,37.622366766766135,1,c341d3f0-6e7b-475d-8d18-3a508ee33755
1176,6,1601875692592,CONVERGED,-6.658918183951039,37.622357960273426,1,fe669838-f190-4bd6-a359-a22319f2010a
1189,8,1601875707907,CONVERGED,-6.658942604184784,37.622344854243,1,5bc4f0e0-5579-452e-a8e8-601e33f98b91
1203,6,1601875723777,CONVERGED,-6.658929535838027,37.622321167014704,1,f1d21d09-0733-497e-ac65-3b43488175e3
1222,6,1601875743832,CONVERGED,-6.6589334960164726,37.62230392691818,1,47fad30c-dbfa-4285-9d06-77980bd39b71
1239,4,1601875762942,CONVERGED,-6.658921658354672,37.6222588716231,1,0b6863d6-7185-47b4-95fd-f2f1fa04eebd
1254,8,1601875779516,CONVERGED,-6.658964151917775,37.622257727704294,1,b828bdc0-c896-4032-8e1f-59bc39d57b6d
1268,6,1601875797466,CONVERGED,-6.658974767167437,37.62222531137885,1,8a22e13f-2f9a-4ddd-a7da-ec49a5f72a52
1281,4,1601875813280,CONVERGED,-6.658969863880942,37.62222255114943,1,c87a1045-c9ab-4929-a184-f7777734f9ab
1294,8,1601875830815,CONVERGED,-6.658962654559232,37.62218337244092,1,0f777418-1f1c-4a42-a451-d58e94b27bb9
1306,8,1601875847083,CONVERGED,-6.658989909921227,37.62215735383101,1,564e36db-d741-49c0-9ffa-4730e5427d55
1321,12,1601875866688,CONVERGED,-6.658988457360171,37.62206642151241,1,2a5b2b40-bf5f-444c-9759-997cc3488780
1334,6,1601875884227,CONVERGED,-6.659023039795271,37.62202217552332,1,009e92f9-231a-4356-8106-2bd3b1176079
1352,8,1601875906147,CONVERGED,-6.659030437788205,37.62196930155461,1,aa757cb0-9e85-466e-8e1c-e3bada9dbfcd
1367,6,1601875931240,CONVERGED,-6.659020357194909,37.62195031467629,1,d1466666-a755-4b91-ada9-c702e270e039
1382,8,1601875952072,CONVERGED,-6.659027655034728,37.62194198942333,1,228d4d45-55e7-4e16-8d66-858d68d534ef
1395,8,1601875964154,CONVERGED,-6.6590494687138495,37.62190650415649,1,fb298a0c-2659-45a2-b66a-9425d24fff20
1411,6,1601875982186,CONVERGED,-6.659059702836716,37.6218853537864,1,3fcadc1e-e48a-4572-b408-5f5fb868a7ce
1424,12,1601875997362,CONVERGED,-6.659051446558618,37.621857723307535,1,98814579-507c-4ca1-ae6f-535b7940bd8f
1447,8,1601876022178,CONVERGED,-6.659064504057042,37.62176258923889,1,8df958ed-1031-4979-8fcb-7846e0a32cbd
1463,8,1601876039803,CONVERGED,-6.659094132660098,37.621730400514714,1,be62d71b-8012-45e2-beeb-13ee85c77f6a
1477,6,1601876056102,CONVERGED,-6.65909165093539,37.621707644702745,1,325b4334-2a43-463a-bd1f-d2a570e3352a
1490,6,1601876071028,CONVERGED,-6.659126067746202,37.621689744863374,1,17e98b28-5cc7-48a0-8a0e-b0cd8c107ea6
